ID,group,task,week,learnTime,time,item,acc,RT
AmPm5cd0,GC,PNN,2,PM,1,protea,0,NA
AmPm5cd0,GC,PNN,1,AM,3,banyan,0,NA
AmPm5cd0,GC,PNN,1,AM,3,baobab,0,NA
AmPm46f8,GC,PNN,2,PM,1,trillium,1,1213.2
AmPm46f8,GC,PNT,1,AM,1,serval,1,1506
AmPm46f8,GC,PNT,2,PM,1,protea,0,NA
AmPm46f8,GC,PNT,1,AM,1,gelada,0,NA
AmPm46f8,GC,PNN,2,PM,1,woylie,0,NA
AmPm46f8,GC,PNN,2,PM,1,zinnia,0,NA
AmPm46f8,GC,PNT,2,PM,1,agouti,1,1656.5
AmPm46f8,GC,PNT,1,AM,1,banyan,0,NA
AmPm46f8,GC,PNT,1,AM,1,baobab,1,1474.8
AmPm46f8,GC,PNT,2,PM,1,blenny,1,1442.7
AmPm46f8,GC,PNT,1,AM,1,caracal,1,2689.2
AmPm46f8,GC,PNT,1,AM,1,deglupta,1,1116.8
AmPm46f8,GC,PNT,2,PM,1,dingo,1,1260.1
AmPm46f8,GC,PNT,2,PM,1,dorado,0,NA
AmPm46f8,GC,PNT,1,AM,1,drongo,1,2485.3
AmPm46f8,GC,PNT,1,AM,1,galah,1,1894
AmPm46f8,GC,PNT,2,PM,1,zinnia,0,NA
AmPm46f8,GC,PNT,1,AM,1,hoopoe,1,841.3
AmPm46f8,GC,PNT,2,PM,1,komondor,0,NA
AmPm46f8,GC,PNT,1,AM,1,lesula,0,NA
AmPm46f8,GC,PNT,2,PM,1,lycaon,0,NA
AmPm46f8,GC,PNT,1,AM,1,mandrill,1,836
AmPm46f8,GC,PNT,2,PM,1,marmot,0,NA
AmPm46f8,GC,PNT,1,AM,1,oncilla,1,1227.3
AmPm46f8,GC,PNT,2,PM,1,oranda,1,1502.3
AmPm46f8,GC,PNN,2,PM,2,zinnia,0,NA
AmPm46f8,GC,PNT,2,PM,2,agouti,1,872.2
AmPm46f8,GC,PNT,2,PM,1,trillium,1,1193.3
AmPm46f8,GC,PNT,2,PM,1,woylie,0,NA
AmPm46f8,GC,PNT,1,AM,3,mandrill,0,NA
AmPm46f8,GC,PNT,2,PM,3,marmot,1,1537.4
AmPm46f8,GC,PNT,1,AM,3,oncilla,1,1155.6
AmPm46f8,GC,PNT,2,PM,3,oranda,1,1079.9
AmPm46f8,GC,PNT,2,PM,3,protea,1,NA
AmPm46f8,GC,PNT,1,AM,3,serval,1,1411.4
AmPm46f8,GC,PNT,2,PM,3,trillium,1,974.5
AmPm46f8,GC,PNT,2,PM,3,woylie,1,1403.1
AmPm46f8,GC,PNT,2,PM,3,zinnia,1,2471.9
AmPm46f8,GC,PNN,1,AM,2,galah,1,1982.1
AmPm46f8,GC,PNN,1,AM,2,gelada,0,NA
AmPm46f8,GC,PNN,1,AM,2,hoopoe,1,1032.7
AmPm46f8,GC,PNN,2,PM,2,komondor,0,NA
AmPm46f8,GC,PNN,1,AM,2,lesula,0,NA
AmPm46f8,GC,PNN,2,PM,2,lycaon,0,NA
AmPm46f8,GC,PNN,1,AM,2,mandrill,0,NA
AmPm46f8,GC,PNN,2,PM,2,marmot,1,5051
AmPm46f8,GC,PNN,1,AM,2,oncilla,1,1003.4
AmPm46f8,GC,PNN,2,PM,2,oranda,1,1315.8
AmPm46f8,GC,PNN,2,PM,2,protea,0,NA
AmPm46f8,GC,PNN,1,AM,2,serval,1,1862.2
AmPm46f8,GC,PNN,2,PM,2,trillium,1,1052.2
AmPm46f8,GC,PNN,2,PM,2,woylie,1,1588.4
AmPm46f8,GC,PNN,2,PM,1,agouti,1,1374.7
AmPm46f8,GC,PNN,1,AM,1,banyan,0,NA
AmPm46f8,GC,PNN,1,AM,1,baobab,1,2087.3
AmPm46f8,GC,PNN,2,PM,1,blenny,1,2400.8
AmPm46f8,GC,PNN,1,AM,1,caracal,0,NA
AmPm46f8,GC,PNN,1,AM,1,deglupta,1,1474.8
AmPm46f8,GC,PNN,2,PM,1,dingo,1,1565.5
AmPm46f8,GC,PNN,2,PM,1,dorado,0,NA
AmPm46f8,GC,PNN,1,AM,1,drongo,1,1612.2
AmPm46f8,GC,PNN,1,AM,1,galah,1,3328.2
AmPm46f8,GC,PNN,1,AM,1,gelada,0,NA
AmPm46f8,GC,PNN,1,AM,1,hoopoe,1,1047.6
AmPm46f8,GC,PNN,2,PM,1,komondor,0,NA
AmPm46f8,GC,PNN,1,AM,1,lesula,0,NA
AmPm46f8,GC,PNN,2,PM,1,lycaon,0,NA
AmPm46f8,GC,PNN,1,AM,1,mandrill,1,780.6
AmPm46f8,GC,PNN,2,PM,1,marmot,0,NA
AmPm46f8,GC,PNN,1,AM,1,oncilla,1,1968.3
AmPm46f8,GC,PNN,2,PM,1,oranda,1,1520.4
AmPm46f8,GC,PNN,2,PM,1,protea,0,NA
AmPm46f8,GC,PNN,1,AM,1,serval,1,2281.2
AmPm46f8,GC,PNN,2,PM,3,agouti,1,1264.2
AmPm46f8,GC,PNN,1,AM,3,banyan,1,1853
AmPm46f8,GC,PNN,1,AM,3,baobab,1,1416.7
AmPm46f8,GC,PNN,2,PM,3,blenny,1,1119.9
AmPm46f8,GC,PNN,1,AM,3,caracal,0,NA
AmPm46f8,GC,PNN,1,AM,3,deglupta,1,1427.7
AmPm46f8,GC,PNN,2,PM,3,dingo,1,1485.1
AmPm46f8,GC,PNN,2,PM,3,dorado,0,NA
AmPm46f8,GC,PNN,1,AM,3,drongo,1,1148.8
AmPm46f8,GC,PNN,1,AM,3,galah,1,2149.5
AmPm46f8,GC,PNN,1,AM,3,gelada,0,NA
AmPm46f8,GC,PNN,1,AM,3,hoopoe,1,884.4
AmPm46f8,GC,PNN,2,PM,3,komondor,0,NA
AmPm46f8,GC,PNN,1,AM,3,lesula,0,NA
AmPm46f8,GC,PNN,2,PM,3,lycaon,0,NA
AmPm46f8,GC,PNN,1,AM,3,mandrill,0,NA
AmPm46f8,GC,PNN,2,PM,3,marmot,1,4176.4
AmPm46f8,GC,PNN,1,AM,3,oncilla,1,1470.2
AmPm46f8,GC,PNN,2,PM,3,oranda,1,1554.4
AmPm46f8,GC,PNN,2,PM,3,protea,0,NA
AmPm46f8,GC,PNN,1,AM,3,serval,0,NA
AmPm46f8,GC,PNN,2,PM,3,trillium,1,805
AmPm46f8,GC,PNN,2,PM,3,woylie,1,1625.9
AmPm46f8,GC,PNN,2,PM,3,zinnia,0,NA
AmPm46f8,GC,PNT,2,PM,3,agouti,1,950.1
AmPm46f8,GC,PNT,2,PM,3,blenny,1,748
AmPm46f8,GC,PNT,1,AM,3,caracal,1,1630.7
AmPm46f8,GC,PNT,1,AM,3,deglupta,1,1084.2
AmPm46f8,GC,PNT,2,PM,3,dingo,1,956.9
AmPm46f8,GC,PNT,2,PM,3,dorado,0,NA
AmPm46f8,GC,PNT,1,AM,3,drongo,1,869.5
AmPm46f8,GC,PNT,1,AM,3,galah,1,1419.6
AmPm46f8,GC,PNT,1,AM,3,gelada,1,1940.5
AmPm46f8,GC,PNT,1,AM,3,hoopoe,1,754.7
AmPm46f8,GC,PNT,2,PM,3,komondor,0,NA
AmPm46f8,GC,PNT,1,AM,3,lesula,0,NA
AmPm46f8,GC,PNT,2,PM,3,lycaon,0,NA
AmPm46f8,GC,PNN,2,PM,2,agouti,1,1486.4
AmPm46f8,GC,PNN,1,AM,2,banyan,1,6273.4
AmPm46f8,GC,PNN,1,AM,2,baobab,1,1736.1
AmPm46f8,GC,PNN,2,PM,2,blenny,1,1056.1
AmPm46f8,GC,PNN,1,AM,2,caracal,0,NA
AmPm46f8,GC,PNN,1,AM,2,deglupta,0,NA
AmPm46f8,GC,PNN,2,PM,2,dingo,1,1275.5
AmPm46f8,GC,PNN,2,PM,2,dorado,0,NA
AmPm46f8,GC,PNN,1,AM,2,drongo,1,1232.1
AmPm46f8,GC,PNT,1,AM,2,hoopoe,1,856.3
AmPm46f8,GC,PNT,2,PM,2,komondor,0,NA
AmPm46f8,GC,PNT,1,AM,2,lesula,0,NA
AmPm46f8,GC,PNT,1,AM,2,banyan,1,2974.5
AmPm46f8,GC,PNT,1,AM,2,baobab,1,1187.6
AmPm46f8,GC,PNT,2,PM,2,blenny,1,940.5
AmPm46f8,GC,PNT,1,AM,2,caracal,0,NA
AmPm46f8,GC,PNT,1,AM,2,deglupta,0,NA
AmPm46f8,GC,PNT,2,PM,2,dingo,1,941
AmPm46f8,GC,PNT,2,PM,2,dorado,0,NA
AmPm46f8,GC,PNT,1,AM,2,drongo,1,894
AmPm46f8,GC,PNT,1,AM,2,galah,1,1473.2
AmPm46f8,GC,PNT,1,AM,2,gelada,0,NA
AmPm46f8,GC,PNT,1,AM,2,mandrill,0,NA
AmPm46f8,GC,PNT,2,PM,2,marmot,1,2578.9
AmPm46f8,GC,PNT,1,AM,2,oncilla,1,1184.8
AmPm46f8,GC,PNT,2,PM,2,lycaon,0,NA
AmPm46f8,GC,PNT,2,PM,2,protea,0,NA
AmPm46f8,GC,PNT,1,AM,2,serval,1,2104.3
AmPm46f8,GC,PNT,2,PM,2,trillium,1,818.6
AmPm46f8,GC,PNT,2,PM,2,oranda,0,NA
AmPm46f8,GC,PNT,2,PM,2,zinnia,0,NA
AmPm46f8,GC,PNT,1,AM,3,banyan,1,1260.2
AmPm46f8,GC,PNT,1,AM,3,baobab,1,1065.8
AmPm46f8,GC,PNT,2,PM,2,woylie,1,1074.3
